,Tompkins
216,17.666666666666668
217,17.333333333333332
218,17.333333333333332
219,17.333333333333332
220,17.333333333333332
221,18.0
222,17.666666666666668
223,17.0
224,16.333333333333332
225,14.666666666666666
226,15.0
227,17.0
228,17.0
229,15.0
230,17.0
231,15.666666666666666
232,17.666666666666668
233,15.0
234,16.0
235,18.0
236,17.0
237,15.0
238,15.666666666666666
239,14.0
240,14.0
241,14.666666666666666
242,15.333333333333334
243,15.0
244,15.0
245,15.0
246,15.0
247,15.0
248,15.0
249,15.0
250,15.666666666666666
251,15.666666666666666
252,16.333333333333332
253,17.333333333333332
254,17.0
255,13.333333333333334
256,15.666666666666666
257,15.333333333333334
258,15.0
259,15.0
260,15.333333333333334
261,17.0
262,15.0
263,15.0
264,14.666666666666666
265,14.666666666666666
266,15.0
267,14.666666666666666
268,15.0
269,15.666666666666666
270,14.666666666666666
271,15.0
272,15.0
273,15.333333333333334
274,15.0
275,15.333333333333334
276,15.0
277,15.0
278,15.333333333333334
279,14.333333333333334
280,15.666666666666666
281,15.0
282,15.0
283,15.333333333333334
284,15.333333333333334
285,15.0
286,15.333333333333334
287,14.666666666666666
288,15.0
289,15.666666666666666
290,15.0
291,17.333333333333332
292,15.0
293,15.0
294,17.333333333333332
295,15.0
296,15.333333333333334
297,17.0
298,15.333333333333334
299,15.333333333333334
300,16.333333333333332
301,17.333333333333332
302,15.0
303,15.0
304,14.333333333333334
305,17.333333333333332
306,15.0
307,15.0
308,14.666666666666666
309,15.0
310,15.0
311,16.666666666666668
312,15.666666666666666
313,17.0
314,15.333333333333334
315,15.0
316,16.0
317,15.0
318,15.0
319,15.0
320,15.0
321,15.0
322,13.333333333333334
323,15.0
324,15.0
325,15.333333333333334
326,15.0
327,15.333333333333334
328,15.666666666666666
329,17.333333333333332
330,15.0
331,15.666666666666666
332,15.0
333,15.0
334,15.333333333333334
335,17.0
336,15.333333333333334
337,15.333333333333334
338,15.0
339,13.0
340,15.0
341,15.666666666666666
342,15.0
343,15.0
344,17.0
345,16.666666666666668
346,17.333333333333332
347,17.333333333333332
348,16.666666666666668
349,15.0
350,15.0
351,15.0
352,15.0
353,14.666666666666666
354,15.0
355,15.0
356,15.333333333333334
357,15.0
358,15.0
359,15.0
360,14.0
361,15.0
362,15.333333333333334
363,15.0
364,15.333333333333334
365,15.0
366,15.0
367,15.0
368,15.333333333333334
369,15.333333333333334
370,15.666666666666666
371,15.333333333333334
372,15.333333333333334
373,15.333333333333334
374,15.0
375,15.0
376,15.0
377,15.0
378,15.333333333333334
379,16.666666666666668
380,15.0
381,15.0
382,15.0
383,15.0
384,15.333333333333334
385,15.0
386,14.666666666666666
387,15.0
388,16.666666666666668
389,15.0
390,14.666666666666666
391,15.333333333333334
392,21.0
393,20.666666666666668
394,22.0
395,18.0
396,19.666666666666668
397,20.333333333333332
398,19.666666666666668
399,20.0
400,22.333333333333332
401,19.333333333333332
402,20.0
403,22.666666666666668
404,20.0
405,20.333333333333332
406,19.666666666666668
407,20.666666666666668
408,20.0
409,19.333333333333332
410,20.0
411,21.333333333333332
412,20.666666666666668
413,19.333333333333332
414,20.666666666666668
415,21.0
416,22.333333333333332
417,21.666666666666668
418,22.0
419,19.333333333333332
420,21.333333333333332
421,20.666666666666668
422,20.666666666666668
423,18.666666666666668
424,26.0
425,19.0
426,23.666666666666668
427,20.0
428,20.333333333333332
429,13.0
430,21.666666666666668
431,21.0
432,14.333333333333334
433,19.333333333333332
434,21.0
435,19.0
436,22.666666666666668
437,21.333333333333332
438,19.666666666666668
439,21.333333333333332
440,20.333333333333332
441,21.333333333333332
442,22.333333333333332
443,21.666666666666668
444,20.333333333333332
445,19.0
446,20.333333333333332
447,22.333333333333332
448,23.666666666666668
449,22.0
450,20.0
451,18.0
452,20.666666666666668
453,18.666666666666668
454,20.0
455,21.333333333333332
456,7.333333333333333
457,20.666666666666668
458,23.0
459,20.333333333333332
460,21.666666666666668
461,22.666666666666668
462,22.0
463,20.0
464,21.0
465,22.666666666666668
466,21.666666666666668
467,20.666666666666668
468,19.666666666666668
469,22.666666666666668
470,21.333333333333332
471,19.333333333333332
472,22.666666666666668
473,20.0
474,20.666666666666668
475,19.0
476,21.333333333333332
477,19.333333333333332
478,21.0
479,21.333333333333332
480,21.0
481,19.0
482,22.666666666666668
483,21.0
484,23.0
485,19.333333333333332
486,20.666666666666668
487,20.666666666666668
488,19.666666666666668
489,21.666666666666668
490,12.666666666666666
491,19.666666666666668
492,13.333333333333334
493,11.333333333333334
494,20.666666666666668
495,20.666666666666668
496,19.666666666666668
497,20.666666666666668
498,19.0
499,18.666666666666668
500,20.666666666666668
501,19.333333333333332
502,18.333333333333332
503,21.333333333333332
504,21.333333333333332
505,21.666666666666668
506,19.666666666666668
507,19.0
508,20.333333333333332
509,20.666666666666668
510,19.333333333333332
511,20.0
512,19.333333333333332
513,17.666666666666668
514,13.0
515,21.0
516,20.333333333333332
517,22.0
518,18.333333333333332
519,18.666666666666668
520,17.0
521,20.333333333333332
522,21.0
523,19.0
524,17.333333333333332
525,22.0
526,22.0
527,20.0
528,19.666666666666668
529,21.666666666666668
530,22.333333333333332
531,22.333333333333332
532,23.0
533,20.0
534,20.666666666666668
535,19.333333333333332
536,21.666666666666668
537,21.666666666666668
538,19.333333333333332
539,19.666666666666668
540,21.666666666666668
541,18.666666666666668
542,19.666666666666668
543,22.333333333333332
544,18.333333333333332
545,17.0
546,19.333333333333332
547,21.0
548,19.333333333333332
549,20.666666666666668
550,20.333333333333332
551,20.0
552,19.333333333333332
553,22.0
554,20.0
555,22.0
556,22.0
557,20.0
558,21.333333333333332
559,18.333333333333332
560,21.0
561,18.666666666666668
562,21.0
563,22.0
564,19.333333333333332
565,21.666666666666668
566,21.333333333333332
567,19.666666666666668
568,19.0
569,19.666666666666668
570,19.333333333333332
571,21.0
572,20.333333333333332
573,21.0
574,17.333333333333332
575,20.0
576,20.0
577,20.333333333333332
578,20.333333333333332
579,22.0
580,20.0
581,22.0
582,19.0
583,23.0
584,22.0
585,20.0
586,21.0
587,19.333333333333332
588,17.666666666666668
589,18.0
590,17.666666666666668
591,17.333333333333332
592,19.0
593,17.333333333333332
594,17.333333333333332
595,17.666666666666668
596,18.666666666666668
597,18.0
598,17.333333333333332
599,18.666666666666668
600,17.666666666666668
601,17.666666666666668
602,19.666666666666668
603,18.0
604,20.0
605,17.0
606,17.333333333333332
607,17.0
608,17.666666666666668
609,18.0
610,17.0
611,19.0
612,19.0
613,19.333333333333332
614,19.333333333333332
615,20.333333333333332
616,19.333333333333332
617,19.666666666666668
618,18.0
619,18.0
620,17.333333333333332
621,18.0
622,17.333333333333332
623,17.666666666666668
624,17.666666666666668
625,19.666666666666668
626,17.666666666666668
627,18.0
628,19.666666666666668
629,17.333333333333332
630,17.666666666666668
631,17.666666666666668
632,17.0
633,17.666666666666668
634,17.333333333333332
635,17.0
636,18.0
637,17.666666666666668
638,17.333333333333332
639,17.666666666666668
640,17.0
641,18.666666666666668
642,17.666666666666668
643,18.0
644,17.666666666666668
645,18.0
646,18.0
647,17.333333333333332
648,16.333333333333332
649,18.0
650,17.666666666666668
651,18.666666666666668
652,19.666666666666668
653,17.0
654,17.666666666666668
655,17.333333333333332
656,18.666666666666668
657,17.666666666666668
658,17.666666666666668
659,17.0
660,17.333333333333332
661,17.666666666666668
662,18.0
663,17.666666666666668
664,17.666666666666668
665,17.333333333333332
666,17.0
667,18.0
668,17.666666666666668
669,17.0
670,18.0
671,17.333333333333332
672,17.333333333333332
673,17.333333333333332
674,17.333333333333332
675,17.666666666666668
676,17.333333333333332
677,17.333333333333332
678,17.666666666666668
679,18.0
680,18.0
681,18.0
682,18.0
683,17.666666666666668
684,17.666666666666668
685,17.666666666666668
686,19.666666666666668
687,16.666666666666668
688,17.333333333333332
689,17.333333333333332
690,17.333333333333332
691,17.0
692,17.333333333333332
693,17.0
694,17.333333333333332
695,17.333333333333332
696,17.333333333333332
697,17.333333333333332
698,17.0
699,18.0
700,18.0
701,17.333333333333332
702,17.666666666666668
703,18.0
704,16.666666666666668
705,17.0
706,18.0
707,21.666666666666668
708,17.666666666666668
709,17.666666666666668
710,18.0
711,16.333333333333332
712,19.333333333333332
713,19.333333333333332
714,17.333333333333332
715,18.0
716,17.333333333333332
717,17.0
718,19.333333333333332
719,18.666666666666668
720,19.666666666666668
721,17.666666666666668
722,17.666666666666668
723,17.0
724,18.0
725,17.666666666666668
726,17.0
727,17.666666666666668
728,17.666666666666668
729,17.0
730,17.666666666666668
731,17.333333333333332
732,19.333333333333332
733,17.333333333333332
734,16.333333333333332
735,17.0
736,17.666666666666668
737,17.666666666666668
738,17.666666666666668
739,17.666666666666668
740,17.333333333333332
741,17.666666666666668
742,17.666666666666668
743,17.333333333333332
744,17.666666666666668
745,17.666666666666668
746,17.666666666666668
747,17.666666666666668
748,16.0
749,17.666666666666668
750,17.666666666666668
751,18.0
752,17.666666666666668
753,17.666666666666668
754,16.333333333333332
755,17.666666666666668
756,16.333333333333332
757,17.0
758,17.666666666666668
759,17.333333333333332
760,17.666666666666668
761,17.666666666666668
762,17.666666666666668
763,17.666666666666668
764,17.666666666666668
765,16.0
766,17.333333333333332
767,17.666666666666668
768,17.0
769,17.666666666666668
770,17.666666666666668
771,17.0
772,17.333333333333332
773,18.0
774,17.0
775,17.666666666666668
776,17.666666666666668
777,17.0
778,17.666666666666668
779,17.666666666666668
780,18.0
781,17.666666666666668
782,17.0
783,17.666666666666668
784,20.333333333333332
785,4.333333333333333
786,13.666666666666666
787,14.0
788,20.333333333333332
789,16.333333333333332
790,17.666666666666668
791,21.0
792,17.0
793,22.0
794,26.333333333333332
795,21.0
796,11.666666666666666
797,5.333333333333333
798,12.333333333333334
799,4.333333333333333
800,19.666666666666668
801,22.666666666666668
802,22.666666666666668
803,22.666666666666668
804,23.0
805,18.0
806,21.333333333333332
807,18.0
808,18.333333333333332
809,22.333333333333332
810,19.333333333333332
811,20.333333333333332
812,22.333333333333332
813,22.0
814,21.333333333333332
815,18.0
816,19.333333333333332
817,20.0
818,18.0
819,23.666666666666668
820,22.666666666666668
821,22.333333333333332
822,23.0
823,18.333333333333332
824,19.666666666666668
825,8.666666666666666
826,19.666666666666668
827,19.333333333333332
828,24.666666666666668
829,25.333333333333332
830,16.0
831,25.666666666666668
832,11.0
833,23.333333333333332
834,23.333333333333332
835,22.333333333333332
836,10.666666666666666
837,25.0
838,15.0
839,22.666666666666668
840,14.333333333333334
841,17.333333333333332
842,25.0
843,23.0
844,12.333333333333334
845,23.666666666666668
846,24.0
847,11.333333333333334
848,16.666666666666668
849,25.333333333333332
850,24.0
851,24.333333333333332
852,25.666666666666668
853,5.333333333333333
854,18.333333333333332
855,23.333333333333332
856,24.0
857,25.666666666666668
858,26.0
859,24.666666666666668
860,24.0
861,20.0
862,24.333333333333332
863,22.0
864,25.333333333333332
865,25.0
866,13.666666666666666
867,15.333333333333334
868,21.0
869,24.0
870,22.0
871,20.333333333333332
872,21.0
873,16.0
874,12.666666666666666
875,3.6666666666666665
876,21.666666666666668
877,16.666666666666668
878,19.0
879,4.333333333333333
880,22.666666666666668
881,19.333333333333332
882,9.666666666666666
883,19.333333333333332
884,12.0
885,21.666666666666668
886,24.0
887,18.333333333333332
888,6.333333333333333
889,22.333333333333332
890,7.333333333333333
891,6.333333333333333
892,19.0
893,24.0
894,15.666666666666666
895,5.666666666666667
896,20.0
897,12.333333333333334
898,16.333333333333332
899,6.0
900,21.333333333333332
901,11.666666666666666
902,18.333333333333332
903,15.0
904,17.333333333333332
905,1.0
906,26.333333333333332
907,15.0
908,9.666666666666666
909,22.0
910,14.666666666666666
911,11.0
912,10.666666666666666
913,20.333333333333332
914,20.666666666666668
915,20.666666666666668
916,20.666666666666668
917,3.0
918,22.0
919,19.333333333333332
920,10.0
921,20.333333333333332
922,16.333333333333332
923,11.0
924,22.666666666666668
925,12.666666666666666
926,10.333333333333334
927,13.0
928,18.333333333333332
929,19.666666666666668
930,19.666666666666668
931,17.666666666666668
932,4.0
933,28.333333333333332
934,21.333333333333332
935,18.0
936,19.0
937,25.0
938,15.0
939,8.333333333333334
940,3.3333333333333335
941,21.0
942,18.0
943,17.0
944,23.666666666666668
945,16.666666666666668
946,6.333333333333333
947,3.3333333333333335
948,23.666666666666668
949,20.0
950,21.333333333333332
951,20.0
952,8.0
953,25.666666666666668
954,26.666666666666668
955,18.666666666666668
956,10.666666666666666
957,21.333333333333332
958,17.666666666666668
959,16.333333333333332
960,7.0
961,19.666666666666668
962,22.333333333333332
963,20.666666666666668
964,12.0
965,18.333333333333332
966,24.666666666666668
967,19.666666666666668
968,12.333333333333334
969,16.333333333333332
970,16.0
971,23.333333333333332
972,22.333333333333332
973,19.0
974,16.0
975,15.0
976,6.333333333333333
977,20.666666666666668
978,22.666666666666668
979,18.333333333333332
980,22.333333333333332
981,22.666666666666668
982,22.666666666666668
983,22.0
984,22.666666666666668
985,22.333333333333332
986,22.0
987,22.333333333333332
988,22.666666666666668
989,22.666666666666668
990,22.0
991,0.6666666666666666
992,22.666666666666668
993,22.333333333333332
994,22.666666666666668
995,22.0
996,22.333333333333332
997,22.333333333333332
998,22.666666666666668
999,22.666666666666668
1000,22.0
1001,22.333333333333332
1002,22.333333333333332
1003,22.0
1004,22.0
1005,22.666666666666668
1006,22.333333333333332
1007,21.666666666666668
1008,21.333333333333332
1009,23.0
1010,22.333333333333332
1011,22.0
1012,22.0
1013,22.0
1014,22.0
1015,22.0
1016,24.0
1017,22.333333333333332
1018,20.0
1019,22.0
1020,22.0
1021,22.0
1022,21.666666666666668
1023,21.666666666666668
1024,22.333333333333332
1025,22.666666666666668
1026,22.0
1027,22.666666666666668
1028,22.0
1029,21.666666666666668
1030,19.333333333333332
1031,22.333333333333332
1032,21.333333333333332
1033,22.333333333333332
1034,22.666666666666668
1035,22.0
1036,22.333333333333332
1037,22.666666666666668
1038,22.333333333333332
1039,21.666666666666668
1040,22.333333333333332
1041,22.0
1042,22.0
1043,22.0
1044,22.0
1045,22.0
1046,22.333333333333332
1047,21.333333333333332
1048,24.0
1049,23.333333333333332
1050,22.666666666666668
1051,21.666666666666668
1052,22.333333333333332
1053,22.0
1054,22.666666666666668
1055,22.333333333333332
1056,22.666666666666668
1057,22.0
1058,20.666666666666668
1059,21.333333333333332
1060,20.666666666666668
1061,22.0
1062,21.666666666666668
1063,23.0
1064,22.333333333333332
1065,22.666666666666668
1066,22.0
1067,22.666666666666668
1068,22.0
1069,21.666666666666668
1070,22.666666666666668
1071,22.333333333333332
1072,15.666666666666666
1073,22.333333333333332
1074,22.333333333333332
1075,22.0
1076,22.333333333333332
1077,22.666666666666668
1078,22.666666666666668
1079,22.666666666666668
