,MDF_EXP
522,113.39522546419153
523,111.40065146579788
524,110.42944785276144
525,114.14077362079912
526,107.8864353312309
527,105.71870170015487
528,116.55874190564352
529,114.09598551162131
530,106.7897165458152
531,110.50080775444086
532,115.20000000000168
533,107.81841109710031
534,101.15516703090789
535,111.04256631708641
536,125.95071493763264
537,119.44260119442382
538,111.3281249999999
539,116.27906976744002
540,119.58241062954541
541,107.71653543307164
542,111.14541525161897
543,116.12903225806305
544,107.24925521350615
545,112.42603550295748
546,112.85266457680137
547,106.40945861854354
548,115.66707466340166
549,109.02483343428457
550,106.57894736842232
551,116.24152405554094
552,104.01284109148943
553,113.49306431273472
554,118.49529780564399
555,104.9723756906087
556,120.98991750687605
557,112.68533772652506
558,100.22928267278022
559,98.36065573770595
560,108.95189550812326
561,107.24365004703787
562,128.45175302513178
563,123.52941176470809
564,104.41508217853776
565,109.05612244898153
566,113.10084825636541
567,112.11460604172872
568,110.22657685241782
569,114.82381530984179
570,117.68551814318349
571,117.30205278592354
572,109.16054899457573
573,114.35832274460216
574,106.24417520968777
575,127.85670166769388
576,103.63636363636364
577,106.7545304777582
578,105.98626104023496
579,110.07402639201905
580,97.54542556582898
581,129.41544232572582
582,122.86689419794696
583,115.20877781163978
584,109.3560145808017
585,129.8360655737666
586,122.88686605981526
587,120.5357142857138
588,112.24154906465377
589,120.65813528336383
590,111.29189716889027
591,114.54545454545455
592,120.73170731707312
593,119.40298507462681
594,117.24565756823819
595,117.97752808988771
596,119.46902654867256
597,117.75700934579451
598,115.83011583011567
599,114.06155703077836
600,116.5587419056432
601,117.02786377708995
602,121.77121771217708
603,118.34319526627202
604,118.11023622047281
605,115.71841851494722
606,112.46300559026648
607,111.48962527098186
608,111.0750243585578
609,111.48962527098126
610,111.83780248528424
611,119.89100817438671
612,119.0476190476199
613,118.07149885208307
614,121.38728323699428
615,122.14682294879633
616,124.54695222405262
617,126.68298653610789
618,125.29002320185609
619,116.1647203441915
620,117.72400261608836
621,122.41112828438983
622,109.3000958772776
623,119.56521739130413
624,118.75589066917986
625,119.35585727818183
626,111.97511664074618
627,116.54257041113678
628,128.86430198503083
629,122.80701754385976
630,121.19268996473319
631,116.59469463294256
632,117.61045426260137
633,112.05766710353915
634,114.75409836065496
635,114.94252873563158
636,111.40065146579788
637,119.28053013568885
638,114.86917677089927
639,111.40065146579788
640,115.34940494354518
641,118.16192560175094
642,123.09605222256734
643,115.60693641618502
644,119.49305974653034
645,116.70268601420237
646,117.49347258485732
647,107.34463276836154
648,114.06155703077896
649,117.13665943600874
650,115.08951406649543
651,118.38211114764893
652,121.69993560850077
653,120.03810733566208
654,117.6855181431848
655,114.51075431687254
656,117.35485873952176
657,117.13665943600874
658,116.99164345403919
659,117.07317073170731
660,112.87128712871389
661,116.91927002783818
662,112.53516723976279
663,116.2790697674413
664,115.84431504750232
665,114.79591836734772
666,112.9831516352821
667,116.52281134402035
668,113.10084825636179
669,116.16650532429898
670,111.72819340085017
671,126.52811735941222
672,118.01436153606046
673,125.07552870090798
674,117.45513866231744
675,117.57387247278224
676,113.24503311258347
677,116.77479147358706
678,121.9748305905126
679,114.92854971115925
680,109.72088546679394
681,110.70110701106863
682,141.22262177182017
683,128.1553398058258
684,119.54459203036095
685,121.95873113643695
686,116.84518013631958
687,119.00826446281081
688,112.35955056179948
689,111.76470588235244
690,127.77777777777831
691,116.88311688311717
692,119.16583912611793
693,125.95419847327949
694,116.88311688311471
695,110.07402639201905
696,130.9884778653729
697,121.38728323699296
698,118.16192560174967
699,117.76251226692774
700,127.50230982445413
701,109.090909090911
702,114.75409836065793
703,114.35832274460216
704,111.8359739049416
705,112.32449297971854
706,105.882352941176
707,153.3123028391176
708,175.25125628140498
709,155.56978233034454
710,143.5406698564587
711,158.6626139817625
712,162.2665808113308
713,133.1278890600932
714,140.88916718847713
715,148.48762603116606
716,130.09198423127344
717,144.27701186277523
718,124.99999999999795
719,155.50755939524907
720,171.20367333552235
721,157.45079662605326
722,136.86131386861268
723,130.9090909090909
724,120.4205160879257
725,122.56809338521434
726,140.75695964967343
727,128.53151195280955
728,115.41984732824588
729,130.8470290771181
730,118.96893588896326
731,121.95873113643181
732,128.73134328358177
733,138.5894672004907
734,128.29253176324767
735,144.83424525265346
736,116.50485436892997
737,122.18451095340998
738,118.61614497528956
739,136.02015113350228
740,139.14656771799372
741,114.75409836065317
742,119.58241062954541
743,135.87134886774066
744,140.03241491086249
745,114.75932419509292
746,122.60784949724324
747,124.0990285177075
748,128.29253176324494
749,119.52912767883889
750,115.64407324124514
751,123.65063788027136
752,115.45862732520739
753,112.289457267625
754,117.28203537077498
755,124.45003142677409
756,123.05779987570156
757,117.30205278592615
758,117.61045426260075
759,118.96893588896593
760,114.64968152866707
761,128.5714285714316
762,127.54158964880195
763,118.18778726197925
764,123.28767123287363
765,117.4277726001862
766,115.53273427471255
767,117.97752808988945
768,118.69436201780533
769,125.87412587412845
770,118.53245531514206
771,131.0679611650457
772,120.45889101338128
773,115.56099052277497
774,134.85342019544254
775,122.80701754386247
776,118.2728410513157
777,121.77835051546764
778,118.79321181646363
779,130.04926108374266
780,138.2842509603002
781,115.16314779270553
782,121.21212121212264
783,144.97422680412177
784,147.58578803522622
785,150.57915057915062
786,151.96998123827387
787,142.66842800528403
788,133.59148112294292
789,150.7444168734492
790,172.50495703899526
791,149.42528735632186
792,156.91158156911564
793,160.71428571428572
794,171.59199237368907
795,154.2227662178701
796,161.91066997518607
797,146.6624882481982
798,174.81031866464315
799,160.81684747925942
800,183.9009287925699
801,194.3717277486911
802,179.88757026858238
803,174.7042766151054
804,171.64653528289872
805,99.20391916717682
806,117.72400261608868
807,175.63739376770485
808,181.34546636334102
809,180.90452261306612
810,158.08600847970936
811,122.98136645962715
812,176.010430247718
813,211.9725220804711
814,178.04722399489484
815,199.56883276870974
