,ST_EXP
857,157.5
858,142.5
859,142.5
860,225.0
861,112.5
862,112.5
863,172.5
864,172.5
865,142.5
866,142.5
867,142.5
868,142.5
869,127.5
870,112.5
871,127.5
872,82.5
873,60.0
874,45.0
875,142.5
876,82.5
877,52.5
878,105.0
879,112.5
880,112.5
881,52.5
882,90.0
883,52.5
884,60.0
885,97.5
886,127.5
887,67.5
888,75.0
889,97.5
890,105.0
891,120.0
892,127.5
893,112.5
894,67.5
895,105.0
896,75.0
897,52.5
898,127.5
899,127.5
900,67.5
901,30.0
902,67.5
903,52.5
904,105.0
905,127.5
906,127.5
907,60.0
908,75.0
909,67.5
910,112.5
911,90.0
912,127.5
913,52.5
914,60.0
915,82.5
916,60.0
917,142.5
918,112.5
919,60.0
920,45.0
921,112.5
922,52.5
923,105.0
924,112.5
925,30.0
926,60.0
927,97.5
928,37.5
929,45.0
930,67.5
931,52.5
932,112.5
933,112.5
934,97.5
935,37.5
936,135.0
937,82.5
938,52.5
939,67.5
940,112.5
941,112.5
942,52.5
943,120.0
944,127.5
945,52.5
946,60.0
947,112.5
948,82.5
949,37.5
950,67.5
951,37.5
952,75.0
953,112.5
954,142.5
955,82.5
956,60.0
957,97.5
958,82.5
959,90.0
960,75.0
961,142.5
962,112.5
963,67.5
964,52.5
965,127.5
966,127.5
967,67.5
968,82.5
969,67.5
970,60.0
971,157.5
972,112.5
973,67.5
974,67.5
975,67.5
976,90.0
977,127.5
978,112.5
979,45.0
980,142.5
981,127.5
982,127.5
983,142.5
984,142.5
985,157.5
986,112.5
987,135.0
988,142.5
989,157.5
990,150.0
991,165.0
992,150.0
993,150.0
994,142.5
995,180.0
996,142.5
997,97.5
998,142.5
999,157.5
1000,127.5
1001,142.5
1002,127.5
1003,142.5
1004,142.5
1005,172.5
1006,157.5
1007,187.5
1008,142.5
1009,142.5
1010,157.5
1011,172.5
1012,127.5
1013,142.5
1014,142.5
1015,127.5
1016,142.5
1017,142.5
1018,135.0
1019,142.5
1020,142.5
1021,142.5
1022,142.5
1023,142.5
1024,127.5
1025,142.5
1026,142.5
1027,112.5
1028,172.5
1029,127.5
1030,157.5
1031,142.5
1032,157.5
1033,157.5
1034,142.5
1035,157.5
1036,187.5
1037,142.5
1038,142.5
1039,142.5
1040,142.5
1041,157.5
1042,142.5
1043,187.5
1044,150.0
1045,142.5
1046,142.5
1047,142.5
1048,180.0
1049,127.5
1050,165.0
1051,142.5
1052,142.5
1053,157.5
1054,142.5
1055,157.5
1056,127.5
1057,150.0
1058,142.5
1059,142.5
1060,135.0
1061,112.5
1062,142.5
1063,142.5
1064,150.0
1065,142.5
1066,142.5
1067,142.5
1068,142.5
1069,97.5
1070,142.5
1071,157.5
1072,157.5
1073,150.0
1074,180.0
1075,157.5
1076,142.5
1077,150.0
1078,172.5
1079,172.5
1080,142.5
1081,142.5
1082,157.5
1083,142.5
1084,187.5
1085,172.5
1086,157.5
1087,120.0
1088,112.5
1089,172.5
1090,142.5
1091,157.5
1092,142.5
1093,127.5
1094,142.5
1095,127.5
1096,157.5
1097,172.5
1098,142.5
1099,142.5
1100,135.0
1101,142.5
1102,150.0
1103,120.0
1104,127.5
1105,195.0
1106,142.5
1107,142.5
1108,135.0
1109,187.5
1110,112.5
1111,120.0
1112,210.0
1113,262.5
1114,60.0
1115,187.5
1116,202.5
1117,172.5
1118,142.5
1119,142.5
1120,157.5
1121,202.5
1122,165.0
1123,217.5
1124,157.5
1125,180.0
1126,142.5
1127,127.5
1128,157.5
1129,150.0
1130,187.5
1131,210.0
1132,172.5
1133,172.5
1134,157.5
1135,97.5
1136,202.5
1137,157.5
1138,105.0
1139,142.5
1140,142.5
1141,157.5
1142,157.5
1143,180.0
1144,142.5
1145,142.5
1146,165.0
1147,202.5
1148,142.5
1149,142.5
1150,157.5
1151,112.5
1152,142.5
1153,142.5
1154,142.5
1155,187.5
1156,142.5
1157,157.5
1158,187.5
1159,67.5
1160,180.0
1161,240.0
1162,157.5
1163,240.0
1164,202.5
1165,157.5
1166,142.5
1167,232.5
1168,157.5
1169,142.5
1170,195.0
1171,172.5
1172,142.5
1173,142.5
1174,172.5
1175,150.0
1176,172.5
1177,195.0
1178,157.5
1179,142.5
1180,202.5
1181,172.5
1182,142.5
1183,217.5
1184,142.5
1185,202.5
1186,187.5
1187,210.0
1188,142.5
1189,135.0
1190,142.5
1191,127.5
1192,67.5
1193,67.5
1194,97.5
1195,60.0
1196,187.5
1197,157.5
1198,172.5
1199,157.5
1200,187.5
1201,157.5
1202,157.5
1203,165.0
1204,187.5
1205,187.5
1206,202.5
1207,157.5
1208,157.5
1209,187.5
1210,157.5
1211,172.5
1212,142.5
1213,172.5
1214,142.5
1215,202.5
1216,142.5
1217,142.5
1218,157.5
1219,187.5
1220,172.5
1221,157.5
1222,210.0
1223,165.0
1224,217.5
1225,142.5
1226,210.0
1227,120.0
1228,240.0
1229,187.5
1230,187.5
1231,210.0
1232,195.0
1233,172.5
1234,157.5
1235,172.5
1236,142.5
1237,135.0
1238,127.5
1239,165.0
1240,150.0
1241,195.0
1242,142.5
1243,202.5
1244,187.5
1245,172.5
1246,202.5
1247,225.0
1248,210.0
1249,187.5
1250,187.5
1251,142.5
