,MAV
126,0.17677163135450907
127,0.164893104158781
128,0.1398190775018346
129,0.1400046463862655
130,0.15518699836299604
131,0.15738974781862222
132,0.1367826024261863
133,0.1749268030455737
134,0.15212001356937147
135,0.13683883322650414
136,0.13933923480615257
137,0.1548447789591601
138,0.17686554164865947
139,0.14615181118776382
140,0.14547423138876325
141,0.16278694522846715
142,0.1933268592744862
143,0.1537331318911596
144,0.16882711982020893
145,0.1359748241532121
146,0.1299527252292311
147,0.1570919428835482
148,0.16139716743339466
149,0.16315654654162215
150,0.18690932760470602
151,0.1287357710028937
152,0.13620051639772443
153,0.1338750955674972
154,0.1559400821475584
155,0.16995058399163687
156,0.1278676834616591
157,0.12739625706774135
158,0.16030084341800196
159,0.1631274898420334
160,0.15132704423030408
161,0.13757491082956017
162,0.14900528421984108
163,0.17051848659549573
164,0.04964031708457535
165,0.16217672675443784
166,0.12356653812297937
167,0.1570371919508511
168,0.1376859620877977
169,0.15870147730802028
170,0.14583019883982126
171,0.12796538163406512
172,0.16207504964150726
173,0.16506592723945512
174,0.1301636956019323
175,0.16672324564665242
176,0.20109952013582444
177,0.12975194640467902
178,0.14454395995498465
179,0.1401629816725499
180,0.18723036907598434
181,0.14651389693670808
182,0.1353290445883668
183,0.1432016247156961
184,0.14982441988551112
185,0.16543879456555924
186,0.16121242144164044
187,0.15820974572756755
188,0.14700854273827485
189,0.14089228139708376
190,0.15812405966903814
191,0.1498764918441136
192,0.12489717953976034
193,0.16594764884519286
194,0.1549947821949663
195,0.12867442061036202
196,0.18789849989752822
197,0.18585808788343183
198,0.20208351060112567
199,0.18986436980565052
200,0.21073979321103734
201,0.21198432629642716
202,0.1995116382142495
203,0.20224871524733246
204,0.18965878466397734
205,0.15231846882325634
206,0.16386015749853927
207,0.16424878108836383
208,0.19573039231765071
209,0.1834914503396179
210,0.17724255649721862
211,0.20054415481751559
212,0.17612944580525702
213,0.17644612101292728
214,0.16559747139513709
215,0.15163211628746065
216,0.17620989871074746
217,0.1738488406795146
218,0.1750575413726824
219,0.17869217233061557
220,0.17285174153839722
221,0.17360823942429776
222,0.17578929826388118
223,0.16501619635141296
224,0.18016599080389492
225,0.16235056368061024
226,0.17304396142400652
227,0.17116280277289764
228,0.15742080588728152
229,0.17138187465472587
230,0.162586243587777
231,0.14971996758750183
232,0.16679007666392878
233,0.16698584007673528
234,0.17909838020088809
235,0.17577334842017056
236,0.17511317413064653
237,0.17194551207706635
238,0.16595862274774872
239,0.15284902471619044
240,0.18672313880716412
241,0.18436300796285374
242,0.18042376093300774
243,0.19619156838799623
244,0.183442440287569
245,0.18627693453400196
246,0.16328958420899192
247,0.1862414801018179
248,0.17888103576037542
249,0.17576274309676476
250,0.1566309339680946
251,0.18315422228500416
252,0.1715744575257162
253,0.17728244073340438
254,0.186266509173304
255,0.18911178526641095
256,0.16283704780919983
257,0.1807190854920297
258,0.16644907994938218
259,0.17261599614905984
260,0.16919889677009992
261,0.1762429249340307
262,0.16689998561579455
263,0.1777860524380283
264,0.16540107523319536
265,0.1569312575660652
266,0.17708045984951243
267,0.15326346073801006
268,0.17842187148364624
269,0.17853240064299264
270,0.16005284097514105
271,0.18875014824086006
272,0.18745133243886497
273,0.1783466641402292
274,0.18556768280663125
275,0.17750555074100646
276,0.18164502058993698
277,0.16343095564644625
278,0.17650317078199712
279,0.16464129324035257
280,0.18667108184044906
281,0.18217634399912438
282,0.1771903437879731
283,0.17696322985801602
284,0.17487278492296018
285,0.16778538077152597
286,0.16761835855971483
287,0.18141139922940966
288,0.10477745505718061
289,0.16781182488521315
290,0.17610966698160663
291,0.19562638153869508
292,0.1791322121044935
293,0.1800661536134204
294,0.18330174400037713
295,0.17797904952003046
296,0.18660334152680774
297,0.1639772793452144
298,0.17189963056285087
299,0.18448450282696752
300,0.17393410626701944
301,0.2018038812237098
302,0.17577951621882743
303,0.171378700961682
304,0.18562847618636125
305,0.1981258374805578
306,0.17515341431409706
307,0.16531378545663544
308,0.18117385969907626
309,0.17538830666689603
310,0.18117106624789392
311,0.1796825204475987
312,0.17618334817957787
313,0.18267996402778086
314,0.17939978803006423
315,0.17304602943012032
316,0.16483840850550469
317,0.18727548987677417
318,0.16998013931736639
319,0.17959395631196431
320,0.16271829466275844
321,0.17224402698105526
322,0.1774594144012224
323,0.1789454157740613
324,0.16712199733389252
