,TCI_1,TCI_2,TCI_3,TCI_4,TCI_5,TCI_6
50,464.93079383165224,538.0642564893689,345.9637561779242,367.4540682414698,561.383612134959,477.3037387428363
51,824.350041437736,493.45955442165456,428.69841269841265,558.9873417721519,554.9450150618808,798.3961873778235
52,944.3926339378925,880.1969738276989,469.8861888649646,464.51291006610955,474.5877052438833,486.2520651404295
53,696.9696969696969,964.026402640264,875.6951542766063,485.7109911018008,892.599907063197,855.5996870674611
54,453.5463464322093,449.5972858535804,453.88349514563106,440.51825677267374,380.873866446826,511.38168343038643
55,491.7505400064341,505.7807608095111,529.4593501415667,847.8108171388434,483.9803872538894,486.046511627907
56,567.986230636833,497.5086239938674,489.76833976833984,417.6412289395441,779.5842527000349,599.2345544013123
57,504.25373750722724,499.0146974300025,500.69630645798253,489.86687017722375,499.677373100086,876.8429164991288
58,475.11478420569335,473.5332960534927,484.48494636059525,485.67238267148014,494.0035866397668,546.3659381166921
59,489.58262945694537,496.38792676892626,896.083550913838,470.74436571320234,460.37814091515804,504.5298109809051
60,475.65477236772716,887.8184850750561,848.8105402373897,474.24519885429874,473.09142431737956,470.34736998367066
61,483.6527230041518,479.12938684585333,470.0645448475406,477.1544245228456,506.05674211029645,789.5381330654025
62,398.2300884955752,682.6051112943115,575.6986634264885,492.5558708196512,500.947064101286,474.5321100917431
63,491.4124243895978,482.45691559876263,564.6526039804553,401.16279069767444,372.67080745341616,422.96072507552867
64,469.96875076892803,467.60783923844554,483.54845662012974,485.6479138874833,483.62345396243705,439.3570384802727
65,484.66194255262945,474.1265774287014,478.28374629293023,474.17840375586854,472.0405995515166,488.0257712458013
66,617.283950617284,542.6356589147287,492.19761919447353,498.11607510369504,482.0577961257542,470.62336514458394
67,471.9727795706469,476.6334683156397,411.69351084628994,401.4598540145986,427.50929368029733,564.8748841519925
68,512.8770691538526,805.3986949873585,532.9841072538401,937.9860911073619,828.7626740475047,480.68669527897
69,478.2603573994888,472.1401710618409,465.48267326732673,472.28532485233984,491.62011173184356,501.7184297650954
70,483.42786144058533,480.94905632303625,485.43632694483654,480.16217437311997,461.4517783208194,460.3798297314997
71,411.85860889395667,1389.7335002682885,457.92651673313253,479.12057522123894,486.3297059088047,484.0774653593712
72,484.58149779735686,852.6443278159065,464.19580768176263,484.4165428279704,785.527961407897,438.58694095063464
73,435.90337716503507,439.90209697691336,349.1730112890523,472.1995094031072,480.58252427184465,462.38293569588564
74,527.8276481149013,445.5719557195572,599.5127892813642,480.77108899410575,462.0315074135091,470.0137754600019
75,466.54117075540444,406.25,419.0330007674597,820.0339558573854,511.1111111111111,515.8002038735983
76,484.40762147550714,495.2168433232091,489.25850347111844,468.51463712370725,467.9218534316591,495.0025127031101
77,495.74167507568114,471.41078440762385,493.2032651145639,955.6907037358818,476.37951568082576,462.011058775343
78,454.20024695619844,463.8400083546551,455.21176901732895,439.94948205672523,434.7368421052632,398.1042654028436
79,472.1760952892262,477.22948116199416,487.8315891944512,485.7479675700923,487.1756789178444,484.6618096677767
80,417.72151898734177,539.8720682302773,484.50328752086205,479.31654676259,479.8089448545375,503.14074901948607
81,477.62199160962683,534.9196895173685,813.4808593582045,496.4705882352941,478.52929385487647,429.17524655901155
82,503.98371871481777,478.72150254436247,468.8494448766,483.7927039846124,491.93615171214435,495.5629477460191
83,445.3125,414.5454545454546,427.4563820018366,933.8452046342635,913.972602739726,962.2820919175911
84,373.900293255132,651.3137871563355,1028.1356416545614,849.7412249157394,504.29753554597215,542.6506702814038
85,1499.4051867713538,968.1028560211992,489.795918367347,488.22130970391186,900.5125284738041,905.6539702303471
86,472.385428907168,436.7286633061011,586.4765409383625,958.1609389512793,1003.0590887135726,1010.739427573095
